Time,Actual infrastructure pushing,"Annual financial bail-out",Attention rate for constructing infrastructure,Attention rate for planning new infrastructure,Attention rate for primary activities,Attention rate for secondary activities,Available funds for maintenance,Available maintenance capacity by funds,Available technical staff,Average annual maintenance cost per unit of capacity,Build infrastructure,connected household unrest,Connected households,Connected Kirkwood residents,Connecting households to the service network,Delivery rate connected households,Delivery rate other urban users,Delivery rate unconnected households,Effect of infrastructure pushing on aging time,Effect of maintenance on aging time,Effect of maintenance on leakage,Emigration from Kirkwood,Emigration from LSRV,Emigration from unconnected Kirkwood households,Emigration rate connected Kirkwood,Emigration rate from LSRV,Emigration rate from unconnected kirkwood,FINAL TIME,growth rate,growth rate connected houses,growth rate LSRV,Hiring of staff,Hiring time,households with crisis,Immigration rate,Immigration towards connected houses,Immigration towards unconnected houses,Income flow,Infrastructure aging,Infrastructure Aging Time,Infrastructure building time,Infrastructure planning time,Infrastructure Shortage,Infrastructure Surplus,INITIAL TIME,last time of connected household delivery discrepancy,last time of since urban delivery discrepancy,last time of unconnected household delivery discrepancy,Leakage,Leakage at 0perc maintenance,lifespan decrease at 30perc infra pushin,Lifespan increase at 100perc maintenance,LSRV residents excluding Kirkwood,Maintenance expenditures,Maximum capacity exceeding,Maximum infrastructure capacity,Minimum water supply level,Moving rate to unconnected households,Municipality income,Normal production rate per person per year,Perc Households with crisis,perc Unconnected households with crisis,percentage infrastructure maintained annually,Percentage of household service delivery costs recovered,Percentage of income used for maintenance,Percentage of other urban user service delivery costs recovered,Plan new infrastructure,Planned infrastructure,Population growth Kirkwood residents,Population growth LSRV residents,Population growth unconnected Kirkwood residents,Practical infrastructure capacity,Production constructing activities,Production planning activities,Production possible for construction activities,Production possible for planning activities,Production possible for primary activities,Production rate required for primary staff activities,Production rate required for secondary staff activities,Real production rate per person per year,Required infrastructure,Required tankers,Residents per household,SAVEPER,Service network connecting rate,Staff Hired,Staff leaving,Staff occupancy,Staff required for building infrastructure,Staff required for tankers,Staff service time,Tanker Capacity,Target percentage infrastructure maintenance,Target population connected Kirkwood,Target population unconnected Kirkwood,Theoretical Infrastructure Capacity,TIME STEP,Total Kirkwood Residents,Total production possible,Total production required,Total Residents,Total unrest,Total water demand,Total water demand connected households,Total water demand other urban users,Total water demand unconnected households,unconnected household unrest,Unconnected households,Unconnected Kirkwood residents,Unit charge,unrest increase per year,urban users unsrest,Volume of water supplied for urban water users,Volume of water supplied to connected households,Volume of water supplied to unconnected households,Water demand connected household,Water demand unconnected household,year
0,0,150,0.75,0.25,0.993197,0.00680272,500,200,10,2.5,0,0,769.231,3000,540.628,1,1,1,0,0.32162,0.475,294,600,362.168,0.098,0.015,0.0619091,50,0.012,0.0375,0.03625,0.5,2,0,0.02,0,800,226.446,60.1881,30.3216,5,0.1,0,152.74,0,0,0,0,0.475,0.5,10,10,40000,500,0.3,1245.56,1e-005,1,416.115,20,0,0,10.9589,0.4,0.4,0.75,0,0,112.5,1450,70.2,958.125,0.00510204,0.00170068,1.15561,0.385204,224.959,146,1,22.65,-92.5522,0,3.9,0.0078125,0.0915,1,1,0.735,0.1,1,10,0.011,0.08,7500,5500,1825,0.0078125,8850,226.5,147,48850,0,805.385,266.923,268.462,270,0,1500,5850,1,1,0,268.462,266.923,270,0.347,0.18,1
0.0078125,0,,,,1,0,497.863,199.145,9.99609,,0,0,769.95,3002.81,540.604,1,1,1,0,0.316834,0.290351,294.297,600.006,362.144,0.0980075,0.015,0.0619077,,,,,0.5,,0,,0,800.008,226.52,60.1821,30.3168,,,0,489.034,,0.0078125,0.0078125,0.0078125,0.290351,,,,40000.4,497.863,,1683.21,,,416.3,,0,0,10.9149,,,,0,0,112.605,1450.01,70.1969,1294.78,0,0,0,0,226.902,145.962,0,22.699,-428.852,0,,0.0078125,,,0.999609,0.730097,,,,,,,,1824.53,,8852.55,226.902,145.962,48852.9,0,805.741,267.173,268.58,269.988,0,1499.93,5849.75,,,0,268.58,267.173,269.988,,,
0.015625,0,,,,1,0,495.743,198.297,9.99219,,0,0,770.669,3005.61,540.581,1,1,1,0,0.312087,0.290495,294.595,600.012,362.12,0.098015,0.015,0.0619063,,,,,0.5,,0,,0,800.016,226.594,60.176,30.3121,,,0,488.081,,0.015625,0.015625,0.015625,0.290495,,,,40000.8,495.743,,1682.43,,,416.484,,0,0,10.8712,,,,0,0,112.71,1450.03,70.1939,1294.18,0,0,0,0,226.803,145.925,0,22.6981,-427.905,0,,0.0078125,,,0.999219,0.730194,,,,,,,,1824.06,,8855.1,226.803,145.925,48855.9,0,806.098,267.422,268.699,269.977,0,1499.87,5849.49,,,0,268.699,267.422,269.977,,,
0.0234375,0,,,,1,0,493.64,197.456,9.98829,,0,0,771.388,3008.41,540.557,1,1,1,0,0.307378,0.290637,294.892,600.018,362.097,0.0980224,0.015,0.0619049,,,,,0.5,,0,,0,800.023,226.667,60.1698,30.3074,,,0,487.132,,0.0234375,0.0234375,0.0234375,0.290637,,,,40001.2,493.64,,1681.66,,,416.668,,0,0,10.8279,,,,0,0,112.815,1450.04,70.1908,1293.59,0,0,0,0,226.705,145.887,0,22.6971,-426.962,0,,0.0078125,,,0.998829,0.730291,,,,,,,,1823.59,,8857.65,226.705,145.887,48858.8,0,806.454,267.672,268.818,269.965,0,1499.8,5849.24,,,0,268.818,267.672,269.965,,,
0.03125,0,,,,1,0,491.555,196.622,9.98439,,0,0,772.106,3011.21,540.534,1,1,1,0,0.302708,0.290779,295.189,600.023,362.073,0.0980299,0.015,0.0619035,,,,,0.5,,0,,0,800.031,226.741,60.1636,30.3027,,,0,486.185,,0.03125,0.03125,0.03125,0.290779,,,,40001.6,491.555,,1680.89,,,416.852,,0,0,10.7849,,,,0,0,112.92,1450.06,70.1878,1293,0,0,0,0,226.607,145.85,0,22.6961,-426.021,0,,0.0078125,,,0.998439,0.730388,,,,,,,,1823.12,,8860.2,226.607,145.85,48861.8,0,806.811,267.921,268.937,269.953,0,1499.74,5848.98,,,0,268.937,267.921,269.953,,,
0.0390625,0,,,,1,0,489.486,195.794,9.9805,,0,0,772.823,3014.01,540.51,1,1,1,0,0.298075,0.290919,295.486,600.029,362.049,0.0980374,0.015,0.0619022,,,,,0.5,,0,,0,800.039,226.814,60.1573,30.2981,,,0,485.24,,0.0390625,0.0390625,0.0390625,0.290919,,,,40002,489.486,,1680.13,,,417.036,,0,0,10.7423,,,,0,0,113.025,1450.07,70.1848,1292.41,0,0,0,0,226.509,145.812,0,22.6952,-425.083,0,,0.0078125,,,0.99805,0.730484,,,,,,,,1822.65,,8862.74,226.509,145.812,48864.7,0,807.167,268.17,269.056,269.941,0,1499.67,5848.73,,,0,269.056,268.17,269.941,,,
0.046875,0,,,,1,0,487.434,194.973,9.97661,,0,0,773.541,3016.81,540.487,1,1,1,0,0.29348,0.291058,295.782,600.035,362.025,0.0980448,0.015,0.0619008,,,,,0.5,,0,,0,800.047,226.888,60.1509,30.2935,,,0,484.297,,0.046875,0.046875,0.046875,0.291058,,,,40002.3,487.434,,1679.37,,,417.22,,0,0,10.7,,,,0,0,113.13,1450.08,70.1817,1291.82,0,0,0,0,226.411,145.774,0,22.6942,-424.146,0,,0.0078125,,,0.997661,0.730581,,,,,,,,1822.18,,8865.29,226.411,145.774,48867.6,0,807.523,268.419,269.174,269.93,0,1499.61,5848.48,,,0,269.174,268.419,269.93,,,
0.0546875,0,,,,1,0,485.398,194.159,9.97272,,0,0,774.258,3019.6,540.464,1,1,1,0,0.288922,0.291196,296.079,600.041,362.002,0.0980523,0.015,0.0618994,,,,,0.5,,0,,0,800.055,226.962,60.1444,30.2889,,,0,483.357,,0.0546875,0.0546875,0.0546875,0.291196,,,,40002.7,485.398,,1678.61,,,417.404,,0,0,10.6581,,,,0,0,113.235,1450.1,70.1787,1291.24,0,0,0,0,226.313,145.737,0,22.6932,-423.213,0,,0.0078125,,,0.997272,0.730677,,,,,,,,1821.71,,8867.83,226.313,145.737,48870.6,0,807.878,268.667,269.293,269.918,0,1499.55,5848.23,,,0,269.293,268.667,269.918,,,
0.0625,0,,,,1,0,483.379,193.352,9.96883,,0,0,774.974,3022.4,540.44,1,1,1,0,0.2844,0.291332,296.376,600.047,361.978,0.0980597,0.015,0.061898,,,,,0.5,,0,,0,800.063,227.035,60.1379,30.2844,,,0,482.42,,0.0625,0.0625,0.0625,0.291332,,,,40003.1,483.379,,1677.85,,,417.587,,0,0,10.6165,,,,0,0,113.34,1450.11,70.1757,1290.65,0,0,0,0,226.215,145.699,0,22.6923,-422.282,0,,0.0078125,,,0.996884,0.730773,,,,,,,,1821.24,,8870.37,226.215,145.699,48873.5,0,808.234,268.916,269.411,269.906,0,1499.48,5847.97,,,0,269.411,268.916,269.906,,,
0.0703125,0,,,,1,0,481.376,192.551,9.96495,,0,0,775.69,3025.19,540.417,1,1,1,0,0.279916,0.291468,296.672,600.053,361.954,0.0980672,0.015,0.0618967,,,,,0.5,,0,,0,800.07,227.108,60.1313,30.2799,,,0,481.485,,0.0703125,0.0703125,0.0703125,0.291468,,,,40003.5,481.376,,1677.1,,,417.771,,0,0,10.5752,,,,0,0,113.445,1450.13,70.1727,1290.07,0,0,0,0,226.118,145.662,0,22.6913,-421.354,0,,0.0078125,,,0.996495,0.730869,,,,,,,,1820.77,,8872.91,226.118,145.662,48876.4,0,808.589,269.164,269.53,269.895,0,1499.42,5847.72,,,0,269.53,269.164,269.895,,,
