Time,Actual infrastructure pushing,"Annual financial bail-out",Attention rate for constructing infrastructure,Attention rate for planning new infrastructure,Attention rate for primary activities,Attention rate for secondary activities,Available funds for maintenance,Available maintenance capacity by funds,Available technical staff,Average annual maintenance cost per unit of capacity,Build infrastructure,connected household unrest,Connected households,Connected Kirkwood residents,Connecting households to the service network,Delivery rate connected households,Delivery rate other urban users,Delivery rate unconnected households,Effect of infrastructure pushing on aging time,Effect of maintenance on aging time,Effect of maintenance on leakage,Emigration from Kirkwood,Emigration from LSRV,Emigration from unconnected Kirkwood households,Emigration rate connected Kirkwood,Emigration rate from LSRV,Emigration rate from unconnected kirkwood,FINAL TIME,growth rate,growth rate connected houses,growth rate LSRV,Hiring of staff,Hiring time,households with crisis,Immigration rate,Immigration towards connected houses,Immigration towards unconnected houses,Income flow,Infrastructure aging,Infrastructure Aging Time,Infrastructure building time,Infrastructure planning time,Infrastructure Shortage,Infrastructure Surplus,INITIAL TIME,last time of connected household delivery discrepancy,last time of since urban delivery discrepancy,last time of unconnected household delivery discrepancy,Leakage,Leakage at 0perc maintenance,lifespan decrease at 30perc infra pushin,Lifespan increase at 100perc maintenance,LSRV residents excluding Kirkwood,Maintenance expenditures,Maximum capacity exceeding,Maximum infrastructure capacity,Minimum water supply level,Moving rate to unconnected households,Municipality income,Normal production rate per person per year,Perc Households with crisis,perc Unconnected households with crisis,percentage infrastructure maintained annually,Percentage of household service delivery costs recovered,Percentage of income used for maintenance,Percentage of other urban user service delivery costs recovered,Plan new infrastructure,Planned infrastructure,Population growth Kirkwood residents,Population growth LSRV residents,Population growth unconnected Kirkwood residents,Practical infrastructure capacity,Production constructing activities,Production planning activities,Production possible for construction activities,Production possible for planning activities,Production possible for primary activities,Production rate required for primary staff activities,Production rate required for secondary staff activities,Real production rate per person per year,Required infrastructure,Required tankers,Residents per household,SAVEPER,Service network connecting rate,Staff Hired,Staff leaving,Staff occupancy,Staff required for building infrastructure,Staff required for tankers,Staff service time,Tanker Capacity,Target percentage infrastructure maintenance,Target population connected Kirkwood,Target population unconnected Kirkwood,Theoretical Infrastructure Capacity,TIME STEP,Total Kirkwood Residents,Total production possible,Total production required,Total Residents,Total unrest,Total water demand,Total water demand connected households,Total water demand other urban users,Total water demand unconnected households,unconnected household unrest,Unconnected households,Unconnected Kirkwood residents,Unit charge,unrest increase per year,urban users unsrest,Volume of water supplied for urban water users,Volume of water supplied to connected households,Volume of water supplied to unconnected households,Water demand connected household,Water demand unconnected household,year
0,0,150,0.75,0.25,0.993197,0.00680272,500,200,10,2.5,0,0,769.231,3000,535.275,1,1,1,0,0.32162,0.475,294,600,358.546,0.098,0.015,0.0619091,50,0.012,0.0375,0.03625,0.5,2,0,0.02,0,800,226.446,60.1881,30.3216,5,0.1,0,152.74,0,0,0,0,0.475,0.5,10,10,40000,500,0.3,1245.56,1e-005,1,416.115,20,0,0,10.9589,0.4,0.4,0.75,0,0,112.5,1450,70.2,958.125,0.00510204,0.00170068,1.15561,0.385204,224.959,146,1,22.65,-92.5522,0,3.9,0.0078125,0.0915,1,1,0.735,0.1,1,10,0.011,0.08,7500,5500,1825,0.0078125,8850,226.5,147,48850,0,805.385,266.923,268.462,270,0,1500,5850,1,1,0,268.462,266.923,270,0.347,0.18,1
0.0078125,0,,,,1,0,497.863,199.145,9.99609,,0,0,769.939,3002.76,535.258,1,1,1,0,0.316834,0.290351,294.293,600.006,358.529,0.0980074,0.015,0.0619081,,,,,0.5,,0,,0,800.008,226.52,60.1821,30.3168,,,0,489.034,,0.0078125,0.0078125,0.0078125,0.290351,,,,40000.4,497.863,,1683.21,,,416.299,,0,0,10.9149,,,,0,0,112.604,1450.01,70.1978,1294.78,0,0,0,0,226.902,145.962,0,22.699,-428.852,0,,0.0078125,,,0.999609,0.730097,,,,,,,,1824.53,,8852.58,226.902,145.962,48853,0,805.741,267.169,268.58,269.991,0,1499.95,5849.82,,,0,268.58,267.169,269.991,,,
0.015625,0,,,,1,0,495.743,198.297,9.99219,,0,0,770.648,3005.53,535.241,1,1,1,0,0.312087,0.290495,294.586,600.012,358.512,0.0980147,0.015,0.0619071,,,,,0.5,,0,,0,800.016,226.593,60.176,30.3121,,,0,488.083,,0.015625,0.015625,0.015625,0.290495,,,,40000.8,495.743,,1682.43,,,416.483,,0,0,10.8712,,,,0,0,112.707,1450.03,70.1956,1294.18,0,0,0,0,226.803,145.925,0,22.6981,-427.907,0,,0.0078125,,,0.999219,0.730194,,,,,,,,1824.06,,8855.16,226.803,145.925,48855.9,0,806.097,267.415,268.699,269.983,0,1499.91,5849.63,,,0,268.699,267.415,269.983,,,
0.0234375,0,,,,1,0,493.64,197.456,9.98829,,0,0,771.356,3008.29,535.224,1,1,1,0,0.307378,0.290637,294.879,600.018,358.495,0.0980221,0.015,0.0619061,,,,,0.5,,0,,0,800.023,226.667,60.1698,30.3074,,,0,487.134,,0.0234375,0.0234375,0.0234375,0.290637,,,,40001.2,493.64,,1681.66,,,416.667,,0,0,10.8279,,,,0,0,112.811,1450.04,70.1934,1293.59,0,0,0,0,226.705,145.887,0,22.6971,-426.964,0,,0.0078125,,,0.998829,0.730291,,,,,,,,1823.59,,8857.73,226.705,145.887,48858.9,0,806.452,267.66,268.817,269.974,0,1499.86,5849.45,,,0,268.817,267.66,269.974,,,
0.03125,0,,,,1,0,491.555,196.622,9.98439,,0,0,772.063,3011.05,535.208,1,1,1,0,0.302708,0.290779,295.171,600.023,358.478,0.0980295,0.015,0.0619051,,,,,0.5,,0,,0,800.031,226.74,60.1636,30.3027,,,0,486.187,,0.03125,0.03125,0.03125,0.290779,,,,40001.6,491.555,,1680.89,,,416.851,,0,0,10.7849,,,,0,0,112.914,1450.06,70.1912,1293,0,0,0,0,226.607,145.85,0,22.6961,-426.024,0,,0.0078125,,,0.998439,0.730388,,,,,,,,1823.12,,8860.31,226.607,145.85,48861.9,0,806.808,267.906,268.936,269.966,0,1499.81,5849.26,,,0,268.936,267.906,269.966,,,
0.0390625,0,,,,1,0,489.486,195.794,9.9805,,0,0,772.77,3013.8,535.191,1,1,1,0,0.298075,0.290919,295.464,600.029,358.461,0.0980368,0.015,0.0619041,,,,,0.5,,0,,0,800.039,226.814,60.1573,30.2981,,,0,485.243,,0.0390625,0.0390625,0.0390625,0.290919,,,,40002,489.486,,1680.13,,,417.034,,0,0,10.7423,,,,0,0,113.018,1450.07,70.189,1292.41,0,0,0,0,226.509,145.812,0,22.6952,-425.086,0,,0.0078125,,,0.99805,0.730484,,,,,,,,1822.65,,8862.88,226.509,145.812,48864.8,0,807.163,268.151,269.054,269.958,0,1499.76,5849.08,,,0,269.054,268.151,269.958,,,
0.046875,0,,,,1,0,487.434,194.973,9.97661,,0,0,773.477,3016.56,535.174,1,1,1,0,0.29348,0.291058,295.756,600.035,358.444,0.0980442,0.015,0.0619031,,,,,0.5,,0,,0,800.047,226.887,60.1509,30.2935,,,0,484.302,,0.046875,0.046875,0.046875,0.291058,,,,40002.3,487.434,,1679.37,,,417.218,,0,0,10.7,,,,0,0,113.121,1450.08,70.1868,1291.82,0,0,0,0,226.411,145.774,0,22.6942,-424.151,0,,0.0078125,,,0.997661,0.730581,,,,,,,,1822.18,,8865.46,226.411,145.774,48867.8,0,807.518,268.396,269.173,269.949,0,1499.72,5848.9,,,0,269.173,268.396,269.949,,,
0.0546875,0,,,,1,0,485.398,194.159,9.97272,,0,0,774.183,3019.31,535.157,1,1,1,0,0.288922,0.291196,296.048,600.041,358.427,0.0980515,0.015,0.0619021,,,,,0.5,,0,,0,800.055,226.96,60.1444,30.2889,,,0,483.362,,0.0546875,0.0546875,0.0546875,0.291196,,,,40002.7,485.398,,1678.61,,,417.401,,0,0,10.6581,,,,0,0,113.224,1450.1,70.1846,1291.24,0,0,0,0,226.313,145.737,0,22.6932,-423.218,0,,0.0078125,,,0.997272,0.730677,,,,,,,,1821.71,,8868.03,226.313,145.737,48870.8,0,807.873,268.641,269.291,269.941,0,1499.67,5848.71,,,0,269.291,268.641,269.941,,,
0.0625,0,,,,1,0,483.379,193.352,9.96883,,0,0,774.889,3022.07,535.141,1,1,1,0,0.2844,0.291332,296.34,600.047,358.41,0.0980588,0.015,0.0619011,,,,,0.5,,0,,0,800.063,227.034,60.1379,30.2844,,,0,482.426,,0.0625,0.0625,0.0625,0.291332,,,,40003.1,483.379,,1677.85,,,417.584,,0,0,10.6165,,,,0,0,113.327,1450.11,70.1824,1290.65,0,0,0,0,226.215,145.699,0,22.6923,-422.288,0,,0.0078125,,,0.996884,0.730773,,,,,,,,1821.24,,8870.6,226.215,145.699,48873.7,0,808.228,268.886,269.409,269.932,0,1499.62,5848.53,,,0,269.409,268.886,269.932,,,
0.0703125,0,,,,1,0,481.376,192.551,9.96495,,0,0,775.594,3024.82,535.124,1,1,1,0,0.279916,0.291468,296.632,600.053,358.393,0.0980662,0.015,0.0619001,,,,,0.5,,0,,0,800.07,227.107,60.1313,30.2799,,,0,481.491,,0.0703125,0.0703125,0.0703125,0.291468,,,,40003.5,481.376,,1677.1,,,417.768,,0,0,10.5752,,,,0,0,113.431,1450.13,70.1802,1290.07,0,0,0,0,226.118,145.662,0,22.6913,-421.36,0,,0.0078125,,,0.996495,0.730869,,,,,,,,1820.77,,8873.17,226.118,145.662,48876.7,0,808.583,269.131,269.527,269.924,0,1499.58,5848.35,,,0,269.527,269.131,269.924,,,
