Time,Actual infrastructure pushing,"Annual financial bail-out",Attention rate for constructing infrastructure,Attention rate for planning new infrastructure,Attention rate for primary activities,Attention rate for secondary activities,Available funds for maintenance,Available maintenance capacity by funds,Available technical staff,Average annual maintenance cost per unit of capacity,Build infrastructure,connected household unrest,Connected households,Connected Kirkwood residents,Connecting households to the service network,Delivery rate connected households,Delivery rate other urban users,Delivery rate unconnected households,Effect of infrastructure pushing on aging time,Effect of maintenance on aging time,Effect of maintenance on leakage,Emigration from Kirkwood,Emigration from LSRV,Emigration from unconnected Kirkwood households,Emigration rate connected Kirkwood,Emigration rate from LSRV,Emigration rate from unconnected kirkwood,FINAL TIME,growth rate,growth rate connected houses,growth rate LSRV,Hiring of staff,Hiring time,households with crisis,Immigration rate,Immigration towards connected houses,Immigration towards unconnected houses,Income flow,Infrastructure aging,Infrastructure Aging Time,Infrastructure building time,Infrastructure planning time,Infrastructure Shortage,Infrastructure Surplus,INITIAL TIME,last time of connected household delivery discrepancy,last time of since urban delivery discrepancy,last time of unconnected household delivery discrepancy,Leakage,Leakage at 0perc maintenance,lifespan decrease at 30perc infra pushin,Lifespan increase at 100perc maintenance,LSRV residents excluding Kirkwood,Maintenance expenditures,Maximum capacity exceeding,Maximum infrastructure capacity,Minimum water supply level,Moving rate to unconnected households,Municipality income,Normal production rate per person per year,Perc Households with crisis,perc Unconnected households with crisis,percentage infrastructure maintained annually,Percentage of household service delivery costs recovered,Percentage of income used for maintenance,Percentage of other urban user service delivery costs recovered,Plan new infrastructure,Planned infrastructure,Population growth Kirkwood residents,Population growth LSRV residents,Population growth unconnected Kirkwood residents,Practical infrastructure capacity,Production constructing activities,Production planning activities,Production possible for construction activities,Production possible for planning activities,Production possible for primary activities,Production rate required for primary staff activities,Production rate required for secondary staff activities,Real production rate per person per year,Required infrastructure,Required tankers,Residents per household,SAVEPER,Service network connecting rate,Staff Hired,Staff leaving,Staff occupancy,Staff required for building infrastructure,Staff required for tankers,Staff service time,Tanker Capacity,Target percentage infrastructure maintenance,Target population connected Kirkwood,Target population unconnected Kirkwood,Theoretical Infrastructure Capacity,TIME STEP,Total Kirkwood Residents,Total production possible,Total production required,Total Residents,Total unrest,Total water demand,Total water demand connected households,Total water demand other urban users,Total water demand unconnected households,unconnected household unrest,Unconnected households,Unconnected Kirkwood residents,Unit charge,unrest increase per year,urban users unsrest,Volume of water supplied for urban water users,Volume of water supplied to connected households,Volume of water supplied to unconnected households,Water demand connected household,Water demand unconnected household,year
0,0,150,0.75,0.25,0.993197,0.00680272,500,200,10,2.5,0,0,769.231,3000,535.275,1,1,1,0,0.32162,0.475,294,600,362.168,0.098,0.015,0.0619091,50,0.012,0.0375,0.03625,0.5,2,0,0.02,0,800,226.446,60.1881,30.3216,5,0.1,0,152.74,0,0,0,0,0.475,0.5,10,10,40000,500,0.3,1245.56,1e-005,1,416.115,20,0,0,10.9589,0.4,0.4,0.75,0,0,112.5,1435.5,70.2,958.125,0.00510204,0.00170068,1.15561,0.385204,224.959,146,1,22.65,-92.5522,0,3.9,0.0078125,0.0915,1,1,0.735,0.1,1,10,0.011,0.08,7500,5500,1825,0.0078125,8850,226.5,147,48850,0,805.385,266.923,268.462,270,0,1500,5850,1,1,0,268.462,266.923,270,0.347,0.18,1
0.0078125,0,,,,1,0,497.863,199.145,9.99609,,0,0,769.939,3002.76,535.255,1,1,1,0,0.316834,0.290351,294.293,600.004,362.148,0.0980074,0.015,0.0619079,,,,,0.5,,0,,0,800.006,226.519,60.1821,30.3168,,,0,489.036,,0.0078125,0.0078125,0.0078125,0.290351,,,,40000.3,497.863,,1683.21,,,416.298,,0,0,10.9149,,,,0,0,112.604,1435.51,70.1974,1294.78,0,0,0,0,226.902,145.962,0,22.699,-428.854,0,,0.0078125,,,0.999609,0.730097,,,,,,,,1824.53,,8852.55,226.902,145.962,48852.8,0,805.739,267.169,268.58,269.99,0,1499.95,5849.79,,,0,268.58,267.169,269.99,,,
0.015625,0,,,,1,0,495.743,198.297,9.99219,,0,0,770.648,3005.53,535.236,1,1,1,0,0.312087,0.290495,294.586,600.008,362.128,0.0980147,0.015,0.0619068,,,,,0.5,,0,,0,800.011,226.592,60.176,30.3121,,,0,488.087,,0.015625,0.015625,0.015625,0.290495,,,,40000.6,495.743,,1682.43,,,416.481,,0,0,10.8712,,,,0,0,112.707,1435.52,70.1949,1294.18,0,0,0,0,226.803,145.925,0,22.6981,-427.911,0,,0.0078125,,,0.999219,0.730194,,,,,,,,1824.06,,8855.1,226.803,145.925,48855.7,0,806.093,267.415,268.698,269.98,0,1499.89,5849.57,,,0,268.698,267.415,269.98,,,
0.0234375,0,,,,1,0,493.64,197.456,9.98829,,0,0,771.356,3008.29,535.217,1,1,1,0,0.307378,0.290637,294.879,600.013,362.108,0.0980221,0.015,0.0619056,,,,,0.5,,0,,0,800.017,226.666,60.1698,30.3074,,,0,487.14,,0.0234375,0.0234375,0.0234375,0.290637,,,,40000.8,493.64,,1681.66,,,416.664,,0,0,10.8279,,,,0,0,112.811,1435.53,70.1923,1293.59,0,0,0,0,226.705,145.887,0,22.6971,-426.97,0,,0.0078125,,,0.998829,0.730291,,,,,,,,1823.59,,8857.65,226.705,145.887,48858.5,0,806.446,267.66,268.815,269.971,0,1499.84,5849.36,,,0,268.815,267.66,269.971,,,
0.03125,0,,,,1,0,491.555,196.622,9.98439,,0,0,772.063,3011.05,535.197,1,1,1,0,0.302708,0.290779,295.171,600.017,362.088,0.0980295,0.015,0.0619045,,,,,0.5,,0,,0,800.022,226.739,60.1636,30.3027,,,0,486.195,,0.03125,0.03125,0.03125,0.290779,,,,40001.1,491.555,,1680.89,,,416.847,,0,0,10.7849,,,,0,0,112.914,1435.54,70.1898,1293,0,0,0,0,226.607,145.85,0,22.6961,-426.032,0,,0.0078125,,,0.998439,0.730388,,,,,,,,1823.12,,8860.2,226.607,145.85,48861.3,0,806.8,267.906,268.933,269.961,0,1499.78,5849.15,,,0,268.933,267.906,269.961,,,
0.0390625,0,,,,1,0,489.486,195.794,9.9805,,0,0,772.77,3013.8,535.178,1,1,1,0,0.298075,0.290919,295.464,600.021,362.069,0.0980368,0.015,0.0619033,,,,,0.5,,0,,0,800.028,226.812,60.1573,30.2981,,,0,485.253,,0.0390625,0.0390625,0.0390625,0.290919,,,,40001.4,489.486,,1680.13,,,417.029,,0,0,10.7423,,,,0,0,113.018,1435.55,70.1873,1292.41,0,0,0,0,226.509,145.812,0,22.6952,-425.096,0,,0.0078125,,,0.99805,0.730484,,,,,,,,1822.65,,8862.74,226.509,145.812,48864.1,0,807.153,268.151,269.051,269.951,0,1499.73,5848.94,,,0,269.051,268.151,269.951,,,
0.046875,0,,,,1,0,487.433,194.973,9.97661,,0,0,773.477,3016.56,535.159,1,1,1,0,0.293479,0.291058,295.756,600.025,362.049,0.0980442,0.015,0.0619022,,,,,0.5,,0,,0,800.033,226.885,60.1509,30.2935,,,0,484.313,,0.046875,0.046875,0.046875,0.291058,,,,40001.7,487.433,,1679.37,,,417.212,,0,0,10.7,,,,0,0,113.121,1435.56,70.1847,1291.82,0,0,0,0,226.411,145.774,0,22.6942,-424.163,0,,0.0078125,,,0.997661,0.730581,,,,,,,,1822.18,,8865.29,226.411,145.774,48866.9,0,807.506,268.396,269.169,269.941,0,1499.67,5848.73,,,0,269.169,268.396,269.941,,,
0.0546875,0,,,,1,0,485.398,194.159,9.97272,,0,0,774.183,3019.31,535.139,1,1,1,0,0.288921,0.291196,296.048,600.029,362.029,0.0980515,0.015,0.061901,,,,,0.5,,0,,0,800.039,226.958,60.1444,30.2889,,,0,483.376,,0.0546875,0.0546875,0.0546875,0.291196,,,,40001.9,485.398,,1678.61,,,417.394,,0,0,10.6581,,,,0,0,113.224,1435.57,70.1822,1291.24,0,0,0,0,226.313,145.737,0,22.6932,-423.232,0,,0.0078125,,,0.997272,0.730677,,,,,,,,1821.71,,8867.83,226.313,145.737,48869.8,0,807.859,268.641,269.286,269.932,0,1499.62,5848.52,,,0,269.286,268.641,269.932,,,
0.0625,0,,,,1,0,483.379,193.352,9.96883,,0,0,774.888,3022.07,535.12,1,1,1,0,0.2844,0.291332,296.34,600.033,362.009,0.0980588,0.015,0.0618998,,,,,0.5,,0,,0,800.044,227.031,60.1379,30.2844,,,0,482.441,,0.0625,0.0625,0.0625,0.291332,,,,40002.2,483.379,,1677.85,,,417.576,,0,0,10.6165,,,,0,0,113.327,1435.58,70.1797,1290.65,0,0,0,0,226.215,145.699,0,22.6923,-422.303,0,,0.0078125,,,0.996884,0.730773,,,,,,,,1821.24,,8870.37,226.215,145.699,48872.6,0,808.212,268.886,269.404,269.922,0,1499.57,5848.31,,,0,269.404,268.886,269.922,,,
0.0703125,0,,,,1,0,481.376,192.55,9.96495,,0,0,775.594,3024.82,535.101,1,1,1,0,0.279916,0.291468,296.632,600.037,361.99,0.0980662,0.015,0.0618987,,,,,0.5,,0,,0,800.05,227.103,60.1313,30.2799,,,0,481.509,,0.0703125,0.0703125,0.0703125,0.291468,,,,40002.5,481.376,,1677.1,,,417.758,,0,0,10.5752,,,,0,0,113.431,1435.59,70.1772,1290.07,0,0,0,0,226.118,145.662,0,22.6913,-421.378,0,,0.0078125,,,0.996495,0.730869,,,,,,,,1820.77,,8872.91,226.118,145.662,48875.4,0,808.565,269.131,269.522,269.912,0,1499.51,5848.1,,,0,269.522,269.131,269.912,,,
0.078125,0,,,,1,0,479.39,191.756,9.96107,,0,0,776.299,3027.57,535.082,1,1,1,0,0.275467,0.291603,296.924,600.042,361.97,0.0980735,0.015,0.0618976,,,,,0.5,,0,,0,800.055,227.176,60.1246,30.2755,,,0,480.579,,0.078125,0.078125,0.078125,0.291603,,,,40002.8,479.39,,1676.34,,,417.941,,0,0,10.5343,,,,0,0,113.534,1435.6,70.1746,1289.5,0,0,0,0,226.02,145.624,0,22.6903,-420.454,0,,0.0078125,,,0.996107,0.730965,,,,,,,,1820.3,,8875.45,226.02,145.624,48878.2,0,808.917,269.376,269.639,269.902,0,1499.46,5847.89,,,0,269.639,269.376,269.902,,,
0.0859375,0,,,,1,0,477.419,190.968,9.9572,,0,0,777.003,3030.31,535.062,1,1,1,0,0.271055,0.291736,297.216,600.046,361.95,0.0980808,0.015,0.0618964,,,,,0.5,,0,,0,800.061,227.249,60.1178,30.2711,,,0,479.651,,0.0859375,0.0859375,0.0859375,0.291736,,,,40003.1,477.419,,1675.6,,,418.123,,0,0,10.4937,,,,0,0,113.637,1435.61,70.1721,1288.92,0,0,0,0,225.923,145.586,0,22.6894,-419.533,0,,0.0078125,,,0.99572,0.731061,,,,,,,,1819.83,,8877.99,225.923,145.586,48881,0,809.269,269.62,269.756,269.893,0,1499.4,5847.68,,,0,269.756,269.62,269.893,,,
0.09375,0,,,,1,0,475.465,190.186,9.95333,,0,0,777.707,3033.06,535.043,1,1,1,0,0.266679,0.291868,297.507,600.05,361.931,0.0980882,0.015,0.0618953,,,,,0.5,,0,,0,800.067,227.322,60.111,30.2667,,,0,478.725,,0.09375,0.09375,0.09375,0.291868,,,,40003.3,475.465,,1674.85,,,418.304,,0,0,10.4534,,,,0,0,113.74,1435.62,70.1696,1288.35,0,0,0,0,225.825,145.549,0,22.6884,-418.614,0,,0.0078125,,,0.995333,0.731157,,,,,,,,1819.36,,8880.53,225.825,145.549,48883.9,0,809.621,269.864,269.874,269.883,0,1499.35,5847.47,,,0,269.874,269.864,269.883,,,
0.101563,0,,,,1,0,473.526,189.41,9.94946,,0,0,778.411,3035.8,535.024,1,1,1,0,0.262338,0.292,297.799,600.054,361.911,0.0980955,0.015,0.0618941,,,,,0.5,,0,,0,800.072,227.394,60.1041,30.2623,,,0,477.802,,0.101563,0.101563,0.101563,0.292,,,,40003.6,473.526,,1674.11,,,418.486,,0,0,10.4135,,,,0,0,113.843,1435.63,70.1671,1287.78,0,0,0,0,225.728,145.511,0,22.6875,-417.698,0,,0.0078125,,,0.994946,0.731252,,,,,,,,1818.89,,8883.06,225.728,145.511,48886.7,0,809.973,270.109,269.991,269.874,0,1499.3,5847.26,,,0,269.991,270.109,269.874,,,
