Simulation,Annual.financial.bail-out,Attention.rate.for.planning.new.infrastructure,Default.infrastructure.aging.time,Maximum.capacity.exceeding,Percentage.of.income.used.for.maintenance,Staff.Hired,Staff.required.for.tankers,Staff.service.time,switch.policy.staff.attention,Target.percentage.infrastructure.maintenance,householdshortage
1,240.118,0.211628,36.4333,0.387322,0.283506,38.3112,1,24.6504,1,0.0939776,4176.83
2,151.204,0.0685702,20.6672,0.37834,0.241384,12.1561,0,13.6923,2,0.134438,3993.71
3,179.999,0.0486254,35.3517,0.207231,0.491499,41.8825,1,18.3228,0,0.0607714,3431.09
4,124.537,0.2214,20.1898,0.219784,0.409876,30.8592,0,5.56485,0,0.16538,4984.06
5,165.063,0.670307,37.181,0.144551,0.398796,15.678,0,13.2391,2,0.0711687,3416.02
6,44.9973,0.445244,30.2917,0.0971655,0.459434,7.3572,1,19.4667,1,0.0717611,3797.41
7,54.4915,0.692263,33.0145,0.459705,0.578861,27.1097,0,13.0745,1,0.0857872,3573.22
8,163.809,0.916816,23.2933,0.300866,0.272192,34.9317,1,10.0141,2,0.225563,6395.94
9,54.5291,0.742244,38.3494,0.0238564,0.315991,13.7828,1,7.84468,0,0.0573133,4342.9
10,237.009,0.60314,26.6735,0.0171809,0.492838,47.1042,0,16.4025,1,0.16834,3850.65
11,85.3573,0.774054,33.6417,0.169862,0.51476,36.0908,1,14.7887,0,0.242199,3567.19
12,57.7075,0.08965,29.2829,0.195301,0.452215,13.0933,0,8.50402,2,0.051184,3866.44
13,231.627,0.941206,24.4706,0.159101,0.320719,44.2012,1,7.66934,2,0.153059,4905.22
14,62.314,0.317523,25.3696,0.129873,0.212113,43.1527,0,12.7699,0,0.150415,7215.22
15,51.8671,0.186704,27.2804,0.403824,0.353178,31.884,0,5.90009,1,0.196929,4999.74
16,130.391,0.856273,22.2244,0.326818,0.410964,18.3955,1,19.4405,2,0.214994,4614.92
17,175.265,0.422122,30.9394,0.37143,0.412225,42.0979,0,11.7939,1,0.209357,3644
18,18.1788,0.609121,35.1206,0.0113499,0.597557,0.712703,1,15.9141,0,0.15234,129908
19,79.7504,0.213122,21.1768,0.38184,0.258461,47.7489,1,20.468,2,0.149257,9544.51
20,96.1522,0.35834,21.6539,0.0118567,0.343857,3.72902,0,16.9454,1,0.125338,19606.6
21,175.076,0.535031,35.0542,0.396878,0.230245,14.0765,0,22.6024,0,0.0853761,4965.99
22,130.095,0.0893595,35.0947,0.210738,0.411835,27.842,1,9.29013,1,0.071273,3535.91
23,145.637,0.0559589,23.4425,0.377634,0.408009,17.9174,1,24.8322,2,0.174999,4423.55
24,37.7523,0.141273,30.0918,0.278011,0.537813,35.041,0,13.2581,0,0.224589,3805.54
25,22.6691,0.9471,38.5916,0.49413,0.479806,40.7532,0,11.3682,1,0.212301,3288.23
26,234.275,0.583233,34.8683,0.0342335,0.340869,19.205,1,20.3324,2,0.127012,3826.5
27,73.3092,0.261848,33.074,0.106621,0.203923,34.8095,0,12.6413,0,0.104964,5674.21
28,181.789,0.533085,32.1464,0.0389455,0.46857,41.8356,1,10.0993,1,0.233481,3558.66
29,154.814,0.270938,39.1615,0.16095,0.363841,5.58803,1,12.1006,2,0.245109,3609.13
30,154.106,0.614868,29.6775,0.337309,0.460981,10.0674,0,5.68378,0,0.0624006,3864.29
31,115.039,0.947597,29.0562,0.0937602,0.325068,46.569,0,21.3034,2,0.2314,4766.48
32,173.742,0.939269,20.294,0.133097,0.239299,4.36798,1,15.37,0,0.213001,180476
33,63.4449,0.527495,33.6955,0.489662,0.469538,26.9165,1,16.3481,1,0.143905,3442.96
