Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Maximum capacity exceeding	Percentage of income used for maintenance	Staff Hired	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
1	112.683	0.174165	36.0928	0.250966	0.440127	9	0	24.3646	2	0.167834	0
2	129.466	0.109941	39.4195	0.0874801	0.360696	16	1	11.9854	0	0.16809	310.081
3	136.956	0.476696	26.1277	0.0120644	0.458767	10	0	10.3495	1	0.060633	2750.44
4	233.362	0.948927	35.5216	0.143176	0.413177	22	1	6.22331	1	0.167628	0
5	144.722	0.131248	20.8996	0.321273	0.364116	6	1	24.6622	0	0.150075	0
6	187.831	0.476426	35.9727	0.169079	0.434945	3	0	10.3343	2	0.199519	8029.23
7	92.0571	0.312416	33.9853	0.319884	0.417267	15	1	9.04815	2	0.17537	0
8	31.4139	0.399672	37.8853	0.39538	0.547513	24	0	21.84	0	0.119273	0
9	110.086	0.145123	27.7712	0.179495	0.203583	4	0	10.2319	1	0.0937069	18300.4
10	161.036	0.508087	31.0756	0.496064	0.377334	19	1	11.409	0	0.118117	0
11	226.183	0.0474199	22.9294	0.0641805	0.378469	12	0	8.76823	2	0.223678	1474.82
12	32.3568	0.827432	20.7062	0.187951	0.542695	1	1	15.4976	1	0.135697	-1.29807e+033
13	56.4689	0.980375	23.3159	0.116567	0.229318	13	1	17.4708	0	0.202694	8582.03
14	140.041	0.2847	26.9582	0.138861	0.216103	2	0	8.21974	2	0.248487	134690
15	56.3351	0.537445	20.2131	0.348796	0.399506	18	1	18.2109	1	0.237156	0
16	99.7139	0.233169	32.0068	0.346754	0.222243	21	0	8.29446	0	0.237457	0
17	165.466	0.800571	25.0777	0.24639	0.461557	23	1	24.854	1	0.240579	0
18	110.358	0.396648	28.542	0.187597	0.235824	7	0	23.0967	2	0.160028	207.68
19	63.0498	0.509339	28.9649	0.166117	0.505336	8	1	20.1443	2	0.122633	0
20	166.289	0.755566	36.8181	0.230191	0.394889	20	0	10.8155	1	0.160146	0
21	239.904	0.1463	36.7294	0.232363	0.342009	0	1	18.9329	0	0.176614	157966
22	80.5502	0.0128415	24.327	0.000265693	0.46445	17	0	17.2258	0	0.176907	8635.14
23	153.916	0.267341	32.6813	0.208525	0.245757	14	1	15.4661	1	0.181414	0
24	170.238	0.689615	28.1071	0.476557	0.585275	5	0	14.4776	2	0.0837809	0
25	74.0242	0.21681	27.9603	0.125425	0.272457	25	1	14.009	1	0.114544	998.658
26	97.5182	0.19769	25.9437	0.015239	0.458296	11	0	17.1646	2	0.240836	2785.24
27	169.83	0.0450919	23.687	0.383981	0.425201	8	1	5.00698	0	0.245553	-1.29807e+033
28	177.074	0.33065	28.806	0.111419	0.313493	10	0	19.2518	0	0.228237	509.6
29	134.356	0.791249	39.5113	0.444918	0.30071	16	0	5.72008	2	0.184498	0
30	115.184	0.0259869	36.2605	0.0118521	0.505487	22	1	22.1106	1	0.166745	2260.28
31	213.073	0.687028	28.6064	0.100807	0.596707	5	1	5.60977	1	0.127122	171992
32	148.195	0.398702	37.9585	0.153873	0.489372	13	0	5.27905	2	0.075976	0
33	69.2515	0.722203	31.2264	0.121157	0.413693	3	1	6.48073	0	0.133132	139451
34	48.8713	0.273831	34.8036	0.124936	0.552801	14	0	24.0691	2	0.115034	0
35	122.887	0.67531	36.0856	0.467092	0.414595	0	0	21.2846	1	0.106734	164573
36	113.834	0.106166	23.5929	0.192882	0.278531	17	1	7.88702	0	0.222644	399.417
37	125.645	0.75834	21.895	0.325946	0.298471	24	0	10.6512	1	0.190327	0
38	168.009	0.49005	26.0086	0.17201	0.392567	4	1	12.7851	0	0.0537236	4438.27
39	43.11	0.278477	31.8976	0.231749	0.297152	21	1	22.3059	2	0.172938	0
40	231.766	0.223322	39.8469	0.0465294	0.593439	2	0	20.0177	1	0.228172	129418
41	107.973	0.453022	25.0162	0.161792	0.340512	7	0	8.56035	2	0.183507	8129.13
42	237.673	0.68781	22.5037	0.355622	0.537058	12	1	19.0382	0	0.122583	0
43	203.673	0.392764	34.9888	0.40773	0.26457	6	0	11.4489	2	0.216791	0
44	55.6945	0.158705	36.6591	0.298506	0.25232	25	1	24.2751	0	0.149029	0
45	81.9048	0.467412	28.5565	0.2399	0.517217	19	0	16.533	1	0.150879	0
46	244.602	0.256915	29.0891	0.182615	0.291806	1	1	18.1035	1	0.164183	186994
47	128.722	0.846129	27.1639	0.0940977	0.43739	11	0	9.46298	2	0.212683	510.423
48	223.644	0.915317	20.1191	0.0178183	0.379074	15	1	12.4691	0	0.218261	3287.46
49	68.6949	0.0146714	36.2979	0.0868447	0.580902	9	1	14.4634	0	0.110252	2727.07
50	217.178	0.675619	39.2339	0.444832	0.362861	23	0	18.9628	1	0.192123	0
51	131.614	0.689871	38.4205	0.250125	0.317607	18	1	16.1675	2	0.179875	0
52	242.759	0.65216	24.507	0.11612	0.293231	20	0	20.8863	1	0.0775466	754.596
53	238.937	0.728335	29.1917	0.0960894	0.57223	16	0	12.0819	2	0.0981089	360.284
54	22.7458	0.322816	29.6328	0.131863	0.32923	4	1	12.7994	0	0.13201	461.917
55	40.292	0.729149	33.8515	0.381824	0.322259	8	1	18.0102	0	0.180271	0
56	146.273	0.76379	20.9193	0.172476	0.23421	11	0	17.0707	1	0.218314	1964.7
57	211.185	0.50326	38.9679	0.0553519	0.594363	25	0	19.0592	2	0.213834	742.762
58	237.805	0.768645	30.3733	0.457294	0.354378	15	1	9.7149	2	0.177134	0
59	28.8104	0.634481	31.7378	0.421346	0.401903	18	1	5.26913	0	0.249831	0
60	127.2	0.96513	28.9049	0.260663	0.57368	1	0	10.0853	1	0.134071	190288
61	164.205	0.146567	35.3177	0.478893	0.406273	5	1	17.6628	0	0.153564	0
62	82.0857	0.590506	27.5401	0.127551	0.276451	19	0	14.3906	1	0.0505013	944.133
63	99.1847	0.276085	23.7981	0.20489	0.467875	2	1	8.13566	2	0.0593441	203636
64	237.533	0.410403	31.2241	0.169245	0.566045	0	0	10.5855	0	0.0670782	165708
65	165.226	0.793456	31.4086	0.318954	0.484702	7	0	5.35397	2	0.124709	118241
66	105.164	0.567721	34.1262	0.447353	0.478074	24	1	7.97969	1	0.0556115	0
67	186.068	0.459477	38.0774	0.246091	0.340786	12	1	14.4033	0	0.23333	0
68	26.313	0.763939	33.5408	0.379534	0.355365	22	0	21.3529	2	0.195135	0
69	100.414	0.455476	27.1105	0.238337	0.328419	6	0	16.3962	1	0.215403	0
70	27.9396	0.506169	21.034	0.252751	0.423794	3	1	11.2144	0	0.100985	-1.29807e+033
71	192.026	0.727981	30.7972	0.406196	0.340177	10	0	21.7189	1	0.0629833	0
72	241.776	0.302944	31.6425	0.401818	0.521592	13	1	17.3832	2	0.219078	0
73	55.0166	0.967326	22.5459	0.305179	0.574074	23	0	17.9801	2	0.0573892	0
74	193.399	0.602623	31.6402	0.457486	0.572283	9	1	18.4077	0	0.220452	0
75	195.301	0.633228	23.2703	0.214295	0.406031	20	0	15.7486	1	0.126527	0
76	245.345	0.696634	29.5072	0.0653396	0.253097	14	1	13.086	2	0.235077	1866.07
77	157.24	0.558446	25.5696	0.421439	0.4979	21	0	7.86894	0	0.197038	0
78	93.6961	0.654064	35.4595	0.178208	0.328893	17	1	13.9709	1	0.170674	0
79	88.0158	0.930409	38.143	0.202011	0.535568	19	0	24.4947	1	0.0927558	0
80	51.1557	0.970299	37.2311	0.159695	0.454884	9	1	14.3532	0	0.0573437	0
81	224.863	0.596409	22.2497	0.216075	0.508143	5	0	8.94018	2	0.0635624	202168
82	96.7222	0.80286	24.2613	0.281233	0.257	14	1	5.43534	2	0.173921	-1.29807e+033
83	94.4737	0.137676	33.9151	0.398574	0.455527	10	1	10.7516	0	0.0951087	0
84	2.7037	0.915383	20.8045	0.0132688	0.518656	1	0	15.856	1	0.0914612	195700
85	41.3654	0.273123	39.6069	0.0906402	0.310045	21	1	22.6528	0	0.238155	689.156
86	100.749	0.413233	22.2694	0.180837	0.245383	23	0	11.2114	2	0.101619	1474.19
87	45.5863	0.452278	33.6906	0.416773	0.239397	24	1	15.5721	1	0.159023	0
88	172.98	0.628438	28.9414	0.410015	0.581424	22	0	15.3945	0	0.0984426	0
89	104.287	0.934732	25.9628	0.431702	0.480852	12	1	22.7274	1	0.216066	0
90	130.399	0.920843	28.3857	0.0744101	0.312503	2	0	21.9818	2	0.0600562	150971
91	123.321	0.125635	24.4328	0.422828	0.2476	15	0	9.69147	2	0.236423	0
92	219.776	0.664837	26.4926	0.0373977	0.243672	25	1	12.4843	0	0.11627	3230.54
93	95.1275	0.789262	30.9524	0.113259	0.540074	11	0	13.0351	1	0.0640164	115.624
94	24.7479	0.331294	21.9533	0.409311	0.574612	0	1	21.2395	0	0.167418	-1.29807e+033
95	210.494	0.20589	23.7636	0.196487	0.206273	6	1	23.702	2	0.153131	13983.7
96	7.35346	0.916303	37.2778	0.375996	0.37053	8	0	19.8851	1	0.121503	0
97	202.117	0.568985	27.1883	0.124461	0.259497	4	0	11.6731	0	0.187088	778.354
98	150.376	0.548788	22.4811	0.449494	0.297455	16	1	14.1175	1	0.0599499	0
99	179.262	0.772889	32.3455	0.19547	0.366876	17	0	11.3972	2	0.224641	0
100	82.1719	0.695932	28.9385	0.440861	0.373091	3	1	17.8728	0	0.169308	0
101	51.7016	0.329646	26.458	0.0149181	0.273369	13	0	5.91753	2	0.21559	4390.45
102	115.245	0.0654589	34.6122	0.0232709	0.268107	7	1	24.755	1	0.201815	3079.86
103	118.066	0.454735	30.6409	0.226074	0.26461	20	0	19.7929	2	0.197114	0
104	46.2399	0.881404	24.108	0.0379682	0.37198	18	1	23.3673	1	0.19495	3017.77
105	88.1089	0.211792	33.492	0.0969965	0.287538	22	1	12.067	0	0.0920921	908.124
106	72.0761	0.409954	25.1925	0.374239	0.323401	5	0	17.6443	1	0.15167	194896
107	248.152	0.907935	36.8838	0.368884	0.338475	14	0	12.4107	2	0.143056	0
108	223.722	0.10632	30.8877	0.0915385	0.370259	25	1	8.74315	0	0.208776	316.732
109	14.9502	0.26451	29.9798	0.21973	0.540139	2	1	8.62691	2	0.152686	152952
110	21.2875	0.525096	21.1418	0.241245	0.531444	9	0	16.9016	1	0.133625	0
111	17.8847	0.402968	26.6207	0.490487	0.246618	15	0	9.82375	0	0.142824	0
112	72.063	0.752582	35.5124	0.186034	0.480713	0	1	7.29927	2	0.0990363	164072
113	52.1168	0.116591	38.8669	0.237847	0.273129	17	1	22.0025	0	0.232401	0
