Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
1	245.021	0.27215	21.0415	0.323028	1	7.416	2	0.226128	196929
2	128.612	0.438595	33.2112	0.50647	0	7.26011	1	0.220408	131757
3	48.3834	0.922782	38.5968	0.434524	1	8.21974	0	0.0518186	1254.46
4	80.9758	0.792821	24.0003	0.355155	0	14.3298	0	0.0881654	314.769
5	166.13	0.334913	35.4913	0.349838	0	17.7893	2	0.238603	0
6	86.0995	0.498803	34.0161	0.379848	1	18.2521	1	0.21188	0
7	178.94	0.529392	38.361	0.521165	0	21.8976	1	0.23506	0
8	1.45636	0.509824	34.0327	0.460088	1	17.9038	0	0.0975493	0
9	63.5531	0.544876	21.8344	0.340421	0	20.8712	2	0.0990321	106296
10	126.365	0.0563418	31.7584	0.424537	1	5.90926	2	0.0699015	9299.13
11	153.562	0.978063	32.2049	0.377754	1	6.73178	1	0.200203	164985
12	184.995	0.584008	33.7622	0.533041	0	18.952	0	0.123322	0
13	26.9937	0.216701	26.2512	0.32256	0	20.4257	2	0.243631	6507.64
14	82.1467	0.255743	27.7579	0.268537	1	5.01412	0	0.128463	26963.9
15	198.601	0.321204	22.8744	0.529055	1	8.7717	1	0.1966	157010
16	166.741	0.561987	21.7144	0.307594	0	7.84305	2	0.151043	182536
17	139.01	0.32753	25.5445	0.480389	0	19.8139	0	0.20185	16.4979
18	136.884	0.352128	26.0502	0.426974	1	5.89156	1	0.219617	187208
19	224.139	0.399158	37.6534	0.244115	1	6.46624	0	0.133331	0
20	121.869	0.134611	29.657	0.354618	0	11.4152	1	0.143926	4819.72
21	104.767	0.735877	28.0621	0.209287	0	12.7323	2	0.228313	5105.09
22	203.938	0.318805	30.4434	0.351565	1	13.262	1	0.0690519	0
23	124.346	0.536958	26.7152	0.445239	0	9.92164	2	0.0526294	6855.76
24	20.1247	0.652312	24.1503	0.55503	1	19.9547	0	0.171886	61.7602
25	37.3758	0.112048	20.9712	0.309885	1	17.3761	0	0.074895	2854.03
26	170.926	0.626028	24.1394	0.47888	0	5.46508	2	0.239244	163104
27	242.891	0.976629	27.6502	0.447873	0	16.4538	1	0.141598	141756
28	227.975	0.88525	23.9011	0.497666	1	11.5641	1	0.0642352	162796
29	59.7002	0.778483	23.8618	0.549437	0	15.1975	0	0.18432	77.7876
30	52.1784	0.787485	20.07	0.54201	1	18.3631	2	0.190412	201509
31	85.9886	0.218032	28.6602	0.236639	0	22.1771	2	0.0627232	4426.35
32	220.562	0.17995	37.8355	0.3065	1	6.56946	1	0.0929981	3703.22
33	174.466	0.525104	33.1347	0.515096	1	24.1836	0	0.15739	0
34	132.583	0.49359	28.4498	0.494659	0	7.03801	1	0.173056	130015
35	193.465	0.304833	34.8807	0.313604	1	19.782	0	0.107724	0
36	230.464	0.949311	21.9756	0.371531	0	17.6151	2	0.13793	181830
37	145.844	0.768546	31.1513	0.372215	1	17.9451	1	0.150569	0
38	199.655	0.355619	20.2387	0.512606	0	10.7023	0	0.0642509	152399
39	1.02945	0.306295	25.4865	0.27157	1	12.2022	2	0.102888	7110.18
40	145.245	0.803557	31.0437	0.460645	0	17.5765	0	0.233727	0
41	34.2549	0.794245	31.6476	0.274662	1	9.78039	1	0.213092	84605.5
42	64.6082	0.0670214	38.9465	0.281128	0	10.5855	2	0.147672	2445.75
43	46.7879	0.97902	39.4873	0.220212	1	6.16987	2	0.128237	145145
44	54.1728	0.835546	38.2547	0.586533	0	6.78016	1	0.229892	135786
45	161.027	0.942144	22.2685	0.446707	0	17.8218	0	0.173479	187.609
46	57.0849	0.83875	21.6578	0.385958	1	6.63234	2	0.219836	207040
47	88.0406	0.681244	22.5468	0.277935	1	24.4883	1	0.121836	13926.1
48	246.21	0.438104	37.9747	0.505654	0	6.5477	0	0.12411	215.527
49	195.681	0.54577	20.2996	0.214867	0	12.0936	1	0.174778	208852
50	135.827	0.589891	28.9891	0.490744	1	9.03587	0	0.240082	0
51	76.2588	0.208824	32.4814	0.23952	0	22.8522	2	0.189863	374.471
52	199.774	0.657178	36.6685	0.374311	1	22.4576	1	0.0550639	0
53	208.602	0.186924	21.6585	0.491775	0	10.8068	2	0.179205	137022
