Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
1	43.3932	0.916808	0.359501	0	21.2282	2	0.0722905	0
2	156.844	0.257793	0.379222	1	5.79234	0	0.162253	4049.99
3	21.5861	0.494936	0.341584	0	21.8565	1	0.161426	0.0190217
4	238.992	0.605896	0.366181	1	22.4527	0	0.171458	0
5	121.604	0.941269	0.451953	0	23.4816	2	0.0550367	0
6	199.001	0.140206	0.334159	1	6.65015	1	0.235655	148653
7	25.8116	0.711323	0.242008	1	5.10716	0	0.0639271	1436.64
8	19.1049	0.278762	0.489212	0	7.80608	2	0.197052	7669.48
9	59.5797	0.780899	0.427818	0	14.0143	1	0.220923	51086.4
10	90.9533	0.579983	0.58915	1	21.3091	1	0.213079	0
11	166.321	0.0289619	0.596384	0	23.0575	0	0.19908	2690.72
12	249.367	0.14155	0.439953	1	23.1295	2	0.152771	0
13	227.036	0.469868	0.574074	1	17.0707	1	0.11377	0
14	104.519	0.922889	0.294673	0	8.9928	0	0.160599	11.3361
15	23.8828	0.119523	0.387639	1	13.9267	2	0.0781013	0
16	158.754	0.483132	0.229365	0	18.7063	2	0.187844	2435.8
17	194.909	0.61109	0.401202	1	15.9898	1	0.137708	0
18	161.342	0.0208258	0.593904	0	6.66028	0	0.210942	109987
19	24.868	0.596487	0.565327	0	19.3089	2	0.162385	0
20	229.939	0.867834	0.362495	1	5.32187	1	0.13437	147078
21	48.5807	0.556778	0.57971	0	14.7672	0	0.221176	0
22	82.6153	0.176703	0.336324	1	20.6584	0	0.169536	0
23	236.638	0.968839	0.280225	0	18.8196	2	0.132457	0
24	70.0238	0.838106	0.291698	1	18.5319	1	0.150849	50.308
25	62.7454	0.883089	0.226317	0	20.8204	1	0.229697	11765.3
26	207.844	0.154926	0.261807	1	12.2313	2	0.0892385	2971.46
27	69.8794	0.30881	0.218604	1	22.7112	0	0.083364	352.213
28	233.884	0.394316	0.322127	0	24.4199	0	0.0571273	0
29	116.463	0.963183	0.217057	0	12.3684	1	0.144094	71975.3
30	190.13	0.851194	0.383473	1	12.1999	2	0.0651	0
31	94.1659	0.296339	0.384017	0	19.7222	2	0.174358	0
32	149.263	0.614026	0.570562	1	19.0154	1	0.113611	0
33	128.428	0.698995	0.584056	1	13.819	0	0.0929445	0
34	90.0674	0.484215	0.444978	0	17.3517	0	0.202051	0
35	119.619	0.72716	0.329574	1	18.6884	1	0.0749993	0
36	28.6419	0.0451293	0.202	0	5.64803	2	0.231736	2551.45
37	6.72989	0.941097	0.242088	1	24.4223	1	0.224096	10180.1
38	213.191	0.104779	0.405506	0	7.29451	2	0.0804058	5302.33
39	132.799	0.26744	0.481591	1	8.72619	0	0.0817634	1726.46
40	243.536	0.186318	0.325502	0	5.98953	0	0.241982	25177.7
41	88.5121	0.792834	0.292579	0	22.906	1	0.11055	28.7502
42	7.75069	0.01343	0.59247	1	5.05985	2	0.117113	7990.56
43	189.579	0.504984	0.36598	0	15.1602	0	0.077306	0
44	82.7585	0.526492	0.331168	1	10.7739	1	0.0672072	3177.25
45	247.527	0.0820432	0.50717	1	13.2028	2	0.0652115	0
46	175.6	0.300438	0.505243	0	5.51479	2	0.214557	28111.9
47	243.085	0.827242	0.322643	0	12.1833	0	0.112993	0
48	143.751	0.303257	0.222466	1	18.6953	1	0.225289	14134.2
49	97.8346	0.177798	0.305644	0	23.0179	1	0.0670495	0.671077
50	104.892	0.706098	0.260235	1	22.5184	2	0.123917	109.989
51	31.8531	0.683133	0.204487	1	10.3058	0	0.1237	493.024
52	176.156	0.165241	0.451479	0	23.7807	0	0.0746603	0
53	239.89	0.237736	0.228618	1	21.2686	2	0.241531	75.8946
54	130.194	0.452263	0.409918	0	14.6499	1	0.209815	0
55	165.256	0.113511	0.226965	1	20.2909	2	0.135551	168.37
56	43.194	0.140474	0.524888	0	19.0069	1	0.17156	0
57	86.9923	0.244219	0.364767	0	14.5311	0	0.182724	0
58	195.219	0.289673	0.241455	1	13.8566	2	0.0611546	73.4141
59	214.628	0.600044	0.56954	0	23.8274	1	0.146045	0
60	230.614	0.130087	0.274082	1	19.2485	0	0.117056	0
61	41.3905	0.474099	0.279292	1	13.3736	0	0.12141	129.455
62	146.395	0.739866	0.226601	0	7.63897	2	0.0520326	2992.11
63	169.475	0.153302	0.334716	1	22.2754	1	0.236359	27.7122
64	197.805	0.299698	0.38581	0	24.3535	0	0.0831587	0
65	24.2593	0.905471	0.30492	0	5.69992	1	0.203745	152764
66	177.617	0.234442	0.312934	1	13.5527	2	0.211905	3355.13
67	145.951	0.77605	0.522655	0	22.9865	2	0.106709	0
68	136.817	0.0954081	0.203387	1	7.87865	0	0.153693	3800.23
69	96.1781	0.544113	0.381641	1	12.3922	1	0.177381	30684.1
70	213.751	0.185577	0.33805	0	12.0789	2	0.187034	3670.2
71	143.734	0.871681	0.34907	1	8.10962	0	0.127429	0
72	225.09	0.102923	0.292498	0	13.8078	1	0.184964	13033.4
73	223.544	0.304957	0.355723	0	21.2991	1	0.101416	0
74	135.016	0.241805	0.476088	1	10.6154	2	0.195044	4492.56
75	84.277	0.424217	0.31207	0	16.9505	0	0.0550639	0.210873
76	190.429	0.973034	0.224829	1	5.1121	1	0.105813	148662
77	90.5177	0.484365	0.397087	1	9.37619	0	0.071092	676.841
78	98.7675	0.922082	0.277654	0	9.90758	2	0.233091	104589
79	33.0899	0.304755	0.413376	0	5.06012	2	0.123387	3757.14
80	51.9717	0.34237	0.464591	1	7.36778	0	0.234307	0
81	243.268	0.370285	0.524195	0	8.64163	1	0.191006	122095
82	125.231	0.287334	0.577982	1	8.12258	2	0.133882	4701.37
83	128.508	0.0343899	0.476016	0	8.27983	0	0.243978	57498
84	194.473	0.951286	0.362673	1	22.9821	1	0.128122	0
85	243.741	0.438476	0.384144	0	7.5511	0	0.0570633	4437.24
86	190.374	0.38271	0.216863	1	17.9258	2	0.167481	2472.47
