ExternalName	InternalName	Supported	Object	InsertName	InsertValue	InsertTime	InsertTimeStep	ReturnType	ReturnUnits	InitialValue	MinNumArgs	MaxNumArgs	ArgUnits1	ArgUnits2	ArgUnits3	ArgUnits4	ArgUnits5	ArgUnits6	ArgUnits7	ArgUnits8	ArgUnits9	ArgUnits10	marker	
ABS	ABS	N		N	N	N	N	double	arg1	N	1	1	dmnl										#	
ACTIVE INITIAL	ACTIVEINITIAL	Y	sdFunctions	Y	Y	Y	Y	double	arg1	Y	2	2	units	units									#	"active eq, initial eq"
ALLOCATE AVAILABLE	ALLOCATEAVAILABLE	N		N	N	N	N	double	arg1	N	3	3											#	
ALLOCATE BY PRIORITY	ALLOCATEBYPRIORITY	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	5	5	units	dmnl	dmnl	dmnl	units						#	"request,priority,size,width,supply"
ALLOC	ALLOC	N		N	N	N	N	double	arg1	N	4	4											#	
ARCCOS	ARCCOS	Y	sdFunctions	N	N	N	N	double	arg1	N	1	1	dmnl										#	x
ARCSIN	ARCSIN	Y	sdFunctions	N	N	N	N	double	arg1	N	1	1	dmnl										#	x
ARCTAN	ARCTAN	Y	sdFunctions	N	N	N	N	double	arg1	N	1	1	dmnl										#	"input, delay time,initial value"
COS	COS	N		N	N	N	N	double	arg1	N	1	1	dmnl										#	
COSH	COSH	N		N	N	N	N	double	arg1	N	1	1	dmnl										#	
CUMULATE	CUMULATE	N		N	N	N	N	double	arg1	N	1	1											#	
CUMULATEF	CUMULATEF	N		N	N	N	N	double	arg1	N	1	1											#	
DELAY BATCH	DELAYBATCH	N		N	N	N	N	double	arg1	N	6	6											#	
DELAY CONVEYOR	DELAYCONVEYOR	Y	sdFunctions	Y	Y	Y	Y	double	arg1	Y	6	6	units	time	units	units	units	time					#	
DELAY FIXED	DELAYFIXED	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	3	3	units	time	units								#	
DELAY INFORMATION	DELAYINFORMATION	N		N	N	N	N	double	arg1	N	3	3											#	
DELAY MATERIAL	DELAYMATERIAL	N		N	N	N	N	double	arg1	N	4	4											#	
DELAY N	DELAYN	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	4	4	units	time	units	dmnl							#	
DELAY PROFILE	DELAYPROFILE	N		N	N	N	N	double	arg1	N	5	5											#	
DELAY1	DELAY1	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	2	2	units	time									#	
DELAY1I	DELAY1I	Y	sdFunctions	Y	Y	Y	Y	double	arg1	Y	3	3	units	time	units								#	
DELAY3	DELAY3	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	2	2	units	time									#	
DELAY3I	DELAY3I	Y	sdFunctions	Y	Y	Y	Y	double	arg1	Y	3	3	units	time	units								#	
DELAYP	DELAYP	N		N	N	N	N	double	arg1	N	3	3											#	
DEMAND AT PRICE	DEMANDATPRICE	N		N	N	N	N	double	arg1	N	3	3											#	
DEPRECIATE BY SCHEDULE	DEPRECIATEBYSCHEDULE	N		N	N	N	N	double	arg1	N	5	5											#	
DEPRECIATE STRAIGHTLINE	DEPRECIATESTRAIGHTLINE	N		N	N	N	N	double	arg1	N	4	4											#	
ELMCOUNT	ELMCOUNT	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	1	1	dmnl										#	
EXP	EXP	Y	sdFunctions	N	N	N	N	double	arg1	N	1	1	dmnl										#	
FIND ZERO	FINDZERO	N		N	N	N	N	double	arg1	N	-1	-1											#	
FORECAST	FORECAST	N		N	N	N	N	double	arg1	N	3	3											#	
GAME	GAME	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	1	1	units										#	
GAMMA LN	GAMMALN	N		N	N	N	N	double	arg1	N	1	1											#	
GET 123 CONSTANTS	GET123CONSTANTS	N		N	N	N	N	double	arg1	N	3	3											#	
GET 123 DATA	GET123DATA	N		N	N	N	N	double	arg1	N	4	4											#	
GET DATA AT TIME	GETDATAATTIME	Y	sdFunctions	Y	Y	Y	Y	double	arg1	N	2	2	units	time									#	
GET DATA BETWEEN TIMES	GETDATABETWEENTIMES	Y	sdFunctions	N	N	N	N	double	arg1	N	3	3	units	time	dmnl								#	
